Staff ID,Department,Shift Duration (Hours),Workdays per Month,Satisfaction Score,Years of Experience
S00156,Pediatrics,8,18,1.02,14
S00157,ICU,10,16,1.99,9
S00158,ER,8,24,3.96,4
S00159,General Medicine,10,25,2.27,11
S00160,Pediatrics,12,23,1.41,6
S00161,ER,12,19,2.44,15
S00162,General Medicine,8,18,2.08,5
S00163,General Medicine,8,16,4.37,11
S00164,ICU,10,15,2.25,18
S00165,ER,10,25,4.16,13
S00166,General Medicine,8,21,4.57,11
S00167,Pediatrics,10,20,2.74,14
S00168,Pediatrics,8,29,4.64,18
S00169,ICU,10,29,2.51,19
S00170,General Medicine,8,16,4.86,15
S00171,ER,8,22,1.36,9
S00172,Pediatrics,8,25,3.75,8
S00173,General Medicine,10,18,2.98,1
S00174,General Medicine,10,22,2.55,4
S00175,ICU,10,29,3.53,14
S00176,Pediatrics,8,21,3.82,2
S00177,Pediatrics,10,19,1.02,16
S00178,ER,10,24,1.67,3
S00179,Pediatrics,8,24,3.85,8
S00180,ER,12,26,3.67,6
S00181,Pediatrics,8,22,4.86,16
S00182,ICU,10,28,4.04,16
S00183,Pediatrics,8,23,4.8,7
S00184,ER,12,19,3.81,13
S00185,ER,8,24,2.19,13
S00186,ICU,10,19,1.42,5
S00187,Pediatrics,12,16,4.13,18
S00188,Pediatrics,10,19,3.58,15
S00189,ICU,12,17,1.19,18
S00190,Pediatrics,12,21,2.44,2
S00191,Pediatrics,8,24,4.83,10
S00192,ER,8,19,3.0,13
S00193,Pediatrics,10,22,2.73,18
S00194,Pediatrics,8,15,2.83,15
S00195,ICU,8,17,1.84,12
S00196,ICU,12,17,2.47,15
S00197,General Medicine,8,23,2.48,13
S00198,ER,12,19,1.21,18
S00199,Pediatrics,12,26,4.07,15
S00200,Pediatrics,12,23,2.67,11
S00201,General Medicine,10,27,4.29,19
S00202,Pediatrics,10,23,4.4,3
S00203,ER,10,15,1.85,7
S00204,General Medicine,12,16,3.63,14
S00205,ER,10,19,2.89,14
S00206,General Medicine,10,18,4.52,13
S00207,General Medicine,8,29,1.86,12
S00208,ICU,10,24,3.71,9
S00209,ER,10,23,3.43,1
S00210,Pediatrics,12,21,2.18,19
S00211,Pediatrics,12,20,1.55,11
S00212,ER,12,21,3.61,19
S00213,Pediatrics,12,15,3.95,18
S00214,Pediatrics,12,15,2.26,12
S00215,ER,12,22,3.58,1
S00216,General Medicine,10,27,2.58,19
S00217,ER,12,27,3.85,17
S00218,General Medicine,12,16,1.8,5
S00219,Pediatrics,8,26,4.56,3
S00220,Pediatrics,10,24,2.15,2
S00221,Pediatrics,10,25,2.47,3
S00222,ICU,10,23,1.23,8
S00223,General Medicine,12,21,1.45,16
S00224,ICU,12,20,3.06,6
S00225,ICU,12,15,2.07,13
S00226,ER,8,15,4.34,16
S00227,ICU,12,16,1.06,16
S00228,ER,8,20,2.52,3
S00229,ER,10,28,2.35,13
S00230,ICU,12,20,1.08,14
S00231,General Medicine,8,16,1.5,8
S00232,General Medicine,8,15,2.65,12
S00233,General Medicine,12,24,2.97,8
S00234,General Medicine,10,19,2.62,9
S00235,General Medicine,10,19,3.12,1
S00236,ICU,10,16,3.38,6
S00237,ICU,8,20,1.04,19
S00238,Pediatrics,8,23,2.86,11
S00239,General Medicine,8,16,4.85,11
S00240,ICU,8,24,3.08,13
S00241,Pediatrics,10,16,3.71,11
S00242,General Medicine,12,17,2.25,18
S00243,ER,8,27,4.1,15
S00244,Pediatrics,8,21,4.09,1
S00245,ICU,10,20,3.09,7
S00246,ER,12,26,4.9,13
S00247,ER,12,22,1.5,12
S00248,ER,10,29,1.07,18
S00249,Pediatrics,10,22,4.08,19
S00250,ICU,12,20,4.23,15
S00251,ER,8,26,1.48,8
S00252,General Medicine,12,25,2.06,19
S00253,ER,10,24,1.07,10
S00254,ER,8,17,2.17,7
S00255,Pediatrics,8,17,4.09,18
S00256,Pediatrics,10,29,3.07,16
S00257,ICU,10,15,2.39,6
S00258,General Medicine,10,21,2.49,9
S00259,Pediatrics,12,19,1.01,13
S00260,ER,12,18,2.2,8
S00261,ICU,8,24,3.59,16
S00262,ER,10,29,4.9,13
S00263,ER,8,18,4.39,13
S00264,Pediatrics,8,28,1.09,17
S00265,ICU,8,18,4.59,5
S00266,General Medicine,8,20,4.13,17
S00267,General Medicine,10,29,4.12,9
S00268,Pediatrics,8,22,2.83,2
S00269,Pediatrics,10,22,2.59,18
S00270,ICU,10,19,2.21,9
S00271,General Medicine,12,29,1.26,6
S00272,General Medicine,10,20,1.91,11
S00273,General Medicine,12,18,1.99,6
S00274,ER,10,26,2.94,6
S00275,General Medicine,10,28,3.99,13
S00276,ER,10,25,2.9,11
S00277,ICU,12,27,1.23,14
S00278,ER,12,23,4.83,2
S00279,ICU,8,22,4.77,8
S00280,General Medicine,12,24,4.14,3
S00281,General Medicine,12,26,4.97,3
S00282,ICU,12,24,3.18,1
S00283,Pediatrics,12,15,4.85,19
S00284,ICU,8,29,1.3,18
S00285,Pediatrics,12,16,2.46,17
S00286,ER,10,23,1.9,13
S00287,ER,10,22,1.78,3
S00288,ER,12,28,1.56,1
S00289,General Medicine,12,17,3.49,4
S00290,ER,10,22,4.13,13
S00291,Pediatrics,10,26,3.31,17
S00292,ER,8,15,1.59,11
S00293,ICU,10,24,4.24,2
S00294,ICU,10,18,3.54,16
S00295,General Medicine,12,17,2.55,2
S00296,ICU,10,20,3.7,19
S00297,Pediatrics,8,21,2.04,19
S00298,ER,10,18,2.38,16
S00299,General Medicine,12,21,4.67,19
S00300,ER,12,23,2.16,9
S00301,ER,10,25,2.88,1
S00302,Pediatrics,12,16,4.56,10
S00303,ICU,8,25,3.83,19
S00304,ICU,8,17,1.25,1
S00305,ER,10,19,1.59,2
S00306,General Medicine,10,17,1.03,16
S00307,ICU,10,25,3.52,12
S00308,General Medicine,12,22,2.79,8
S00309,ICU,8,26,1.54,18
S00310,General Medicine,8,24,4.83,2
S00311,Pediatrics,12,22,3.12,13
S00312,General Medicine,8,22,1.97,6
S00313,Pediatrics,10,26,3.0,6
S00314,Pediatrics,10,26,3.72,9
S00315,General Medicine,10,23,1.3,16
S00316,Pediatrics,8,18,2.1,11
S00317,ER,10,19,4.23,7
S00318,Pediatrics,12,19,2.84,10
S00319,ICU,12,22,3.19,10
S00320,General Medicine,8,21,2.73,18
S00321,ER,12,23,1.18,9
S00322,General Medicine,12,29,1.66,15
S00323,ICU,8,29,2.78,4
S00324,ICU,10,28,1.84,8
S00325,ICU,10,22,1.2,9
S00326,Pediatrics,10,16,4.37,13
S00327,Pediatrics,8,24,4.92,9
S00328,General Medicine,12,26,4.17,4
S00329,General Medicine,10,18,4.42,17
S00330,ER,10,20,1.97,16
S00331,ER,8,26,4.84,15
S00332,General Medicine,10,16,1.79,3
S00333,Pediatrics,8,21,4.81,5
S00334,ICU,12,17,4.98,5
S00335,General Medicine,8,27,3.85,15
S00336,ER,8,17,4.92,18
S00337,Pediatrics,8,25,3.28,15
S00338,General Medicine,8,16,2.04,2
S00339,General Medicine,12,25,2.75,13
S00340,Pediatrics,12,22,3.37,4
S00341,General Medicine,10,20,1.29,10
S00342,Pediatrics,12,15,3.49,13
S00343,ICU,12,26,4.92,10
S00344,Pediatrics,10,15,1.76,9
S00345,Pediatrics,12,21,4.17,8
S00346,Pediatrics,8,22,4.63,3
S00347,General Medicine,8,19,4.77,16
S00348,General Medicine,10,26,4.84,14
S00349,Pediatrics,10,25,3.09,9
S00350,General Medicine,10,19,4.91,11
S00351,ER,8,18,4.03,3
S00352,ER,12,28,1.65,5
S00353,General Medicine,8,20,2.91,10
S00354,General Medicine,10,28,3.87,13
S00355,Pediatrics,12,20,1.99,4
S00356,ICU,12,17,3.56,13
S00357,General Medicine,8,23,3.67,12
S00358,ER,10,26,1.65,5
S00359,Pediatrics,8,25,3.26,10
S00360,General Medicine,12,28,4.09,9
S00361,ER,8,21,3.0,7
S00362,ER,8,15,1.05,2
S00363,ICU,10,29,1.04,7
S00364,Pediatrics,10,27,2.43,8
S00365,Pediatrics,12,21,4.7,7
S00366,ICU,8,19,1.91,14
S00367,ICU,8,19,3.54,19
S00368,Pediatrics,8,28,1.89,5
S00369,Pediatrics,12,27,2.29,18
S00370,General Medicine,12,16,4.39,12
S00371,General Medicine,10,18,3.92,17
S00372,ICU,10,26,1.38,13
S00373,General Medicine,10,20,2.71,2
S00374,ER,8,24,1.12,13
S00375,General Medicine,8,29,2.92,7
S00376,General Medicine,10,25,3.65,10
S00377,ER,8,21,1.47,6
S00378,ICU,10,25,2.16,3
S00379,ER,12,19,2.59,3
S00380,General Medicine,10,23,4.68,18
S00381,ICU,12,17,4.97,11
S00382,General Medicine,8,15,1.18,5
S00383,ER,10,18,4.04,19
S00384,ER,8,23,2.49,19
S00385,General Medicine,12,18,2.57,15
S00386,Pediatrics,12,16,4.02,16
S00387,Pediatrics,12,24,4.67,9
S00388,ER,8,28,4.8,4
S00389,ER,8,28,3.31,15
S00390,Pediatrics,8,19,2.43,12
S00391,Pediatrics,8,17,4.15,3
S00392,General Medicine,12,27,2.0,14
S00393,General Medicine,12,26,3.26,17
S00394,Pediatrics,10,27,2.43,19
S00395,General Medicine,10,23,3.63,6
S00396,General Medicine,8,18,1.96,4
S00397,ICU,12,20,1.77,7
S00398,General Medicine,12,16,4.67,19
S00399,ER,12,20,1.41,17
S00400,General Medicine,10,17,3.02,16
S00401,General Medicine,10,26,1.88,15
S00402,Pediatrics,12,26,1.16,8
S00403,ER,12,23,1.14,19
S00404,General Medicine,12,25,1.7,8
S00405,General Medicine,10,16,4.47,18
S00406,ICU,12,29,2.13,16
S00407,General Medicine,12,26,4.8,19
S00408,General Medicine,8,26,3.33,10
S00409,ICU,8,23,2.75,17
S00410,Pediatrics,10,19,3.32,13
S00411,General Medicine,12,22,3.07,13
S00412,ICU,12,16,4.04,7
S00413,ER,8,20,2.13,10
S00414,Pediatrics,10,17,2.41,2
S00415,ER,8,26,4.58,4
S00416,ER,8,26,4.79,6
S00417,ICU,8,28,4.57,18
S00418,General Medicine,8,24,2.68,6
S00419,ICU,12,19,4.12,17
S00420,ICU,12,26,2.91,14
S00421,ICU,8,22,2.99,11
S00422,ICU,10,24,1.82,19
S00423,Pediatrics,10,28,3.36,2
S00424,General Medicine,10,15,1.74,3
S00425,ER,10,19,2.33,11
S00426,ER,8,17,4.42,6
S00427,General Medicine,12,18,1.83,14
S00428,ER,10,16,1.28,19
S00429,General Medicine,8,23,1.28,16
S00430,ER,10,17,4.76,7
S00431,ICU,10,29,3.03,8
S00432,ER,8,16,2.64,19
S00433,General Medicine,12,24,4.24,16
S00434,General Medicine,12,25,4.34,7
S00435,General Medicine,8,23,2.33,9
S00436,General Medicine,12,21,3.77,13
S00437,General Medicine,8,20,4.08,1
S00438,Pediatrics,8,15,3.62,8
S00439,Pediatrics,8,19,1.61,4
S00440,ER,12,26,4.5,3
S00441,General Medicine,8,25,3.16,3
S00442,ER,10,28,2.13,13
S00443,General Medicine,12,29,2.7,8
S00444,General Medicine,12,25,1.15,7
S00445,Pediatrics,12,17,1.51,1
S00446,Pediatrics,12,15,4.06,16
S00447,ICU,10,18,1.0,6
S00448,Pediatrics,12,27,2.67,7
S00449,ICU,12,16,3.09,12
S00450,ICU,8,16,1.22,9
S00451,ICU,12,17,4.89,11
S00452,ICU,10,22,1.9,10
S00453,ICU,10,22,2.22,1
S00454,ER,10,26,2.22,18
S00455,Pediatrics,10,29,1.92,4
S00456,ICU,12,21,1.01,5
S00457,General Medicine,12,20,3.92,9
S00458,Pediatrics,10,23,4.87,17
S00459,Pediatrics,10,18,1.9,3
S00460,ICU,12,26,3.65,16
S00461,ER,10,15,3.97,5
S00462,ICU,8,22,4.39,16
S00463,ER,10,21,2.69,3
S00464,General Medicine,10,21,2.21,15
S00465,Pediatrics,8,29,2.3,3
S00466,General Medicine,8,17,3.85,14
S00467,ER,12,18,4.27,16
S00468,ER,12,24,1.73,17
S00469,General Medicine,8,23,2.48,18
S00470,ER,8,29,4.61,18
S00471,General Medicine,12,20,4.23,14
S00472,Pediatrics,10,29,4.94,18
S00473,General Medicine,8,29,4.02,15
S00474,Pediatrics,12,19,2.57,15
S00475,General Medicine,10,17,3.36,6
S00476,ER,8,23,3.64,15
S00477,General Medicine,10,19,1.31,18
S00478,ER,12,19,3.18,4
S00479,General Medicine,8,28,3.84,8
S00480,General Medicine,10,18,1.67,15
S00481,ICU,8,28,4.12,3
S00482,ER,10,18,3.34,15
S00483,ICU,12,26,4.81,13
S00484,ER,12,15,1.17,9
S00485,ICU,8,21,2.06,2
S00486,Pediatrics,10,23,3.41,8
S00487,General Medicine,8,17,2.19,17
S00488,ER,8,26,3.86,13
S00489,ER,10,27,4.04,1
S00490,General Medicine,10,29,1.41,2
S00491,ER,10,16,3.06,15
S00492,ER,12,17,3.04,12
S00493,ICU,8,15,2.48,14
S00494,ER,8,20,4.73,2
S00495,Pediatrics,12,25,4.31,18
S00496,Pediatrics,10,25,3.79,7
S00497,General Medicine,12,21,3.86,6
S00498,ER,12,25,2.85,14
S00499,General Medicine,12,25,4.68,8
S00500,Pediatrics,8,16,3.78,2
S00501,ER,12,22,3.92,17
S00502,ER,8,28,4.45,5
S00503,General Medicine,8,20,2.1,14
S00504,Pediatrics,8,28,4.23,3
S00505,ER,10,18,1.78,5
S00506,General Medicine,8,19,2.38,16
S00507,Pediatrics,8,22,2.34,18
S00508,General Medicine,10,28,4.91,17
S00509,ICU,8,17,4.43,11
S00510,ER,12,17,3.8,17
S00511,ICU,12,28,3.91,16
S00512,Pediatrics,8,29,3.25,2
S00513,ICU,10,28,4.79,4
S00514,ICU,12,25,2.99,7
S00515,Pediatrics,10,18,2.52,2
S00516,General Medicine,10,15,1.65,6
S00517,ICU,12,23,4.14,17
S00518,General Medicine,10,22,3.94,7
S00519,ICU,12,22,2.54,5
S00520,General Medicine,10,28,1.1,5
S00521,Pediatrics,12,24,4.36,16
S00522,ICU,8,20,1.05,19
S00523,Pediatrics,12,21,3.81,9
S00524,ICU,12,20,4.88,5
S00525,Pediatrics,12,23,2.75,8
S00526,Pediatrics,12,17,1.94,9
S00527,ICU,10,28,3.82,5
S00528,ICU,8,17,4.27,10
S00529,ICU,12,17,3.19,2
S00530,ER,10,24,4.87,9
S00531,General Medicine,8,17,1.21,11
S00532,ER,8,23,3.02,4
S00533,ER,8,26,3.87,2
S00534,Pediatrics,8,18,4.45,6
S00535,ICU,12,27,1.72,14
S00536,General Medicine,12,21,4.2,1
S00537,Pediatrics,10,28,3.21,18
S00538,ER,10,29,2.59,7
S00539,ICU,10,23,1.53,1
S00540,Pediatrics,8,25,4.46,1
S00541,ICU,8,26,1.63,1
S00542,Pediatrics,12,21,2.24,4
S00543,ICU,8,23,2.16,4
S00544,ER,8,26,4.49,18
S00545,General Medicine,8,17,3.69,11
S00546,ER,10,29,4.19,1
S00547,General Medicine,10,18,2.0,10
S00548,ICU,12,28,3.5,9
S00549,Pediatrics,8,22,3.29,4
S00550,ER,8,20,4.33,6
S00551,General Medicine,12,19,4.62,16
S00552,ER,8,27,1.05,2
S00553,General Medicine,8,18,3.7,18
S00554,ER,10,22,1.21,10
S00555,General Medicine,12,15,3.2,17
S00556,General Medicine,12,28,2.15,13
S00557,ICU,12,23,2.23,18
S00558,General Medicine,12,15,2.41,13
S00559,ICU,10,22,3.49,17
S00560,General Medicine,10,18,2.34,5
S00561,Pediatrics,8,23,3.93,11
S00562,Pediatrics,8,28,2.62,7
S00563,Pediatrics,8,25,1.27,10
S00564,General Medicine,8,19,4.14,17
S00565,ICU,10,17,2.14,15
S00566,ICU,12,23,2.73,18
S00567,General Medicine,10,25,3.74,19
S00568,Pediatrics,8,28,2.33,2
S00569,Pediatrics,10,28,1.23,4
S00570,ICU,12,23,2.5,3
S00571,Pediatrics,12,18,4.78,7
S00572,ER,10,25,3.57,18
S00573,ICU,10,18,3.69,10
S00574,Pediatrics,10,26,3.53,7
S00575,ICU,8,22,1.8,8
S00576,ER,10,16,2.67,6
S00577,ICU,10,23,4.0,1
S00578,ICU,10,27,1.41,4
S00579,ICU,12,28,2.11,14
S00580,ICU,12,20,2.11,17
S00581,ER,8,23,2.73,18
S00582,General Medicine,8,22,4.92,11
S00583,ICU,12,29,1.27,14
S00584,ICU,12,29,3.07,9
S00585,Pediatrics,12,21,1.72,15
S00586,ICU,10,27,4.88,12
S00587,Pediatrics,10,28,1.45,10
S00588,General Medicine,12,15,2.61,19
S00589,ER,10,28,3.95,19
S00590,ER,10,26,3.82,6
S00591,General Medicine,8,17,2.69,6
S00592,ER,12,25,2.39,8
S00593,General Medicine,12,28,2.59,1
S00594,General Medicine,10,16,2.06,17
S00595,General Medicine,12,19,1.82,17
S00596,ER,8,29,2.93,15
S00597,Pediatrics,8,19,2.07,7
S00598,General Medicine,8,19,2.15,19
S00599,ICU,12,18,3.63,3
S00600,ER,12,19,4.87,11
S00601,General Medicine,12,17,3.41,19
S00602,General Medicine,12,26,1.31,9
S00603,ICU,12,15,1.3,10
S00604,Pediatrics,8,19,4.81,2
S00605,Pediatrics,10,27,2.19,1
S00606,Pediatrics,8,23,1.37,16
S00607,General Medicine,12,27,3.4,18
S00608,General Medicine,8,23,3.49,17
S00609,General Medicine,12,18,3.59,6
S00610,ER,12,17,2.07,14
S00611,ICU,8,15,1.06,15
S00612,General Medicine,12,16,4.86,14
S00613,ICU,10,22,2.0,3
S00614,ICU,12,15,3.7,19
S00615,Pediatrics,10,22,3.83,12
S00616,ER,10,27,3.44,2
S00617,General Medicine,12,21,2.25,3
S00618,Pediatrics,8,29,2.08,18
S00619,Pediatrics,10,22,3.39,1
S00620,General Medicine,8,26,4.46,6
S00621,ICU,10,20,4.79,5
S00622,Pediatrics,12,26,1.42,1
S00623,ICU,12,28,1.62,19
S00624,ER,10,29,4.78,1
S00625,ICU,12,29,3.95,16
S00626,ER,10,23,4.53,12
S00627,ICU,12,17,1.81,8
S00628,Pediatrics,8,24,3.35,16
S00629,Pediatrics,12,18,3.8,1
S00630,ER,8,27,3.72,4
S00631,General Medicine,12,20,2.63,10
S00632,ER,8,22,1.06,11
S00633,ER,12,19,3.33,17
S00634,ICU,8,17,2.01,7
S00635,ICU,10,20,2.8,12
S00636,ER,10,18,4.83,7
S00637,Pediatrics,8,23,2.6,12
S00638,ICU,12,27,4.36,15
S00639,General Medicine,8,17,1.75,2
S00640,ICU,12,18,3.69,14
S00641,ICU,10,21,4.91,13
S00642,General Medicine,12,21,1.41,4
S00643,ER,10,26,1.03,14
S00644,General Medicine,12,26,2.73,14
S00645,ER,12,18,1.37,16
S00646,ER,12,20,3.99,7
S00647,ER,8,26,4.66,19
S00648,General Medicine,8,27,2.74,2
S00649,ER,10,17,2.03,10
S00650,Pediatrics,10,20,2.74,18
S00651,General Medicine,8,26,3.89,17
S00652,Pediatrics,10,16,1.04,5
S00653,ER,8,22,3.36,12
S00654,ICU,12,16,3.45,6
S00655,ER,10,25,3.55,9
S00656,Pediatrics,10,21,1.97,1
S00657,Pediatrics,8,23,3.86,15
S00658,General Medicine,10,15,1.37,6
S00659,ICU,10,22,1.8,19
S00660,General Medicine,12,21,4.51,18
S00661,Pediatrics,10,20,3.95,6
S00662,ER,12,20,1.05,13
S00663,ICU,8,20,1.99,1
S00664,ER,10,23,1.86,13
S00665,ER,12,16,2.08,7
S00666,ICU,8,15,1.99,15
S00667,General Medicine,10,27,1.25,12
S00668,ER,8,26,2.84,1
S00669,Pediatrics,10,20,3.93,15
S00670,ER,8,24,3.43,4
S00671,ICU,8,25,3.69,13
S00672,ICU,12,22,1.32,5
S00673,ICU,8,17,4.81,2
S00674,General Medicine,10,26,4.35,1
S00675,ER,10,24,4.22,16
S00676,General Medicine,12,15,4.29,6
S00677,General Medicine,10,23,4.73,16
S00678,ICU,10,27,3.18,14
S00679,ICU,10,27,1.8,3
S00680,General Medicine,8,15,3.47,15
S00681,ER,8,17,3.97,3
S00682,Pediatrics,10,22,3.95,2
S00683,General Medicine,12,28,3.09,1
S00684,ER,8,17,1.27,9
S00685,ICU,12,27,2.48,9
S00686,ICU,10,18,4.68,7
S00687,ER,10,22,3.34,3
S00688,Pediatrics,8,15,3.15,18
S00689,ICU,10,27,2.08,11
S00690,ICU,8,27,2.47,7
S00691,ICU,10,20,4.58,9
S00692,ER,10,15,3.67,1
S00693,General Medicine,8,28,4.15,14
S00694,ICU,8,15,2.82,6
S00695,General Medicine,8,28,3.52,7
S00696,Pediatrics,10,22,1.99,10
S00697,ICU,10,25,3.82,7
S00698,ICU,12,18,2.71,2
S00699,Pediatrics,8,26,2.77,4
S00700,ICU,10,15,3.6,17
S00701,General Medicine,10,24,4.75,1
S00702,ER,8,21,1.26,10
S00703,General Medicine,12,19,4.3,19
S00704,ER,8,19,2.17,15
S00705,ER,12,15,2.78,10
S00706,General Medicine,10,28,1.09,19
S00707,General Medicine,12,24,2.2,12
S00708,General Medicine,10,25,3.01,16
S00709,General Medicine,8,20,1.22,9
S00710,Pediatrics,8,28,2.96,15
S00711,ICU,8,23,4.71,17
S00712,ER,12,23,1.42,14
S00713,General Medicine,10,22,4.06,18
S00714,General Medicine,8,19,2.64,2
S00715,General Medicine,8,15,3.62,4
S00716,Pediatrics,10,23,2.04,18
S00717,General Medicine,8,15,1.64,7
S00718,General Medicine,10,22,1.64,13
S00719,General Medicine,10,19,1.28,15
S00720,ICU,10,17,1.74,1
S00721,Pediatrics,10,25,3.66,11
S00722,General Medicine,10,21,4.53,10
S00723,ER,12,21,4.26,5
S00724,ER,8,23,3.74,16
S00725,ER,12,21,1.44,11
S00726,Pediatrics,8,27,2.16,6
S00727,Pediatrics,12,25,2.24,9
S00728,ER,10,28,2.0,13
S00729,General Medicine,8,17,3.06,8
